[19:46:22] [INFO ] [AWT-EventQueue-0] [Downloader] - Waiting...
[19:46:32] [INFO ] [Async task thread] [Downloader] - Verifying settings...
[19:46:32] [INFO ] [Async task thread] [Downloader] - Processing login details...
[19:46:32] [INFO ] [Async task thread] [Downloader] - Authenticating...
[19:46:36] [INFO ] [Async task thread] [Downloader] - Authenticated successfully, logged in as skyswimmer
[19:46:36] [INFO ] [Async task thread] [Downloader] - Contacting servers... Preparing to download...
[19:46:37] [INFO ] [Async task thread] [Downloader] - Downloading headers...
[19:46:37] [INFO ] [Async task thread] [Downloader] - Server is indexing save data... This may take a while...
[19:46:42] [INFO ] [Async task thread] [Downloader] - Preparing output...
[19:46:42] [INFO ] [Async task thread] [Downloader] - Writing headers...
[19:46:42] [INFO ] [Async task thread] [Downloader] - Downloading account data containers...
[19:46:42] [INFO ] [Async task thread] [Downloader] - Downloading data container: /
[19:46:42] [INFO ] [Async task thread] [Downloader] - Downloading data container: /accountdata
[19:46:44] [INFO ] [Async task thread] [Downloader] - Downloading data key: /accountdata/registrationtimestamp
[19:46:44] [INFO ] [Async task thread] [Downloader] - Downloading data key: /accountdata/isguestaccount
[19:46:44] [INFO ] [Async task thread] [Downloader] - Downloading data key: /accountdata/ismultiplayerenabled
[19:46:44] [INFO ] [Async task thread] [Downloader] - Downloading data key: /accountdata/ischatenabled
[19:46:44] [INFO ] [Async task thread] [Downloader] - Downloading data key: /accountdata/isstrictchatfilterenabled
[19:46:44] [INFO ] [Async task thread] [Downloader] - Downloading data key: /accountdata/sendupdates
[19:46:44] [INFO ] [Async task thread] [Downloader] - Downloading data key: /accountdata/isunderage
[19:46:44] [INFO ] [Async task thread] [Downloader] - Downloading data key: /accountdata/server_id
[19:46:44] [INFO ] [Async task thread] [Downloader] - Downloading data key: /accountdata/lastlogintime
[19:46:44] [INFO ] [Async task thread] [Downloader] - Downloading data key: /accountdata/lockedsince
[19:46:44] [INFO ] [Async task thread] [Downloader] - Downloading data key: /accountdata/sessiontime
[19:46:44] [INFO ] [Async task thread] [Downloader] - Downloading data container: /currency
[19:46:44] [INFO ] [Async task thread] [Downloader] - Downloading data key: /currency/gems
[19:46:44] [INFO ] [Async task thread] [Downloader] - Downloading data container: /keyvaluedata
[19:46:44] [INFO ] [Async task thread] [Downloader] - Downloading data key: /keyvaluedata/pairs-2017
[19:46:44] [INFO ] [Async task thread] [Downloader] - Downloading data key: /keyvaluedata/pairs-1216
[19:46:44] [INFO ] [Async task thread] [Downloader] - Downloading data container: /dragons
[19:46:44] [INFO ] [Async task thread] [Downloader] - Downloading data key: /dragons/dragonlist
[19:46:44] [INFO ] [Async task thread] [Downloader] - Downloading data container: /commoninventories
[19:46:44] [INFO ] [Async task thread] [Downloader] - Downloading data container: /commoninventories/c-1
[19:46:44] [INFO ] [Async task thread] [Downloader] - Downloading data key: /commoninventories/c-1/u-770986102
[19:46:44] [INFO ] [Async task thread] [Downloader] - Downloading data container: /commoninventories/c-1/d-7971
[19:46:44] [INFO ] [Async task thread] [Downloader] - Downloading data key: /commoninventories/c-1/d-7971/u-770986102
[19:46:44] [INFO ] [Async task thread] [Downloader] - Downloading 3 save(s)...
[19:46:44] [INFO ] [Async task thread] [Downloader] - Downloading save: SkySwimmer
[19:46:44] [INFO ] [Async task thread] [Downloader] - Downloading data container: /
[19:46:44] [INFO ] [Async task thread] [Downloader] - Downloading data key: /accountid
[19:46:44] [INFO ] [Async task thread] [Downloader] - Downloading data key: /answerdata
[19:46:44] [INFO ] [Async task thread] [Downloader] - Downloading data key: /avatar
[19:46:44] [INFO ] [Async task thread] [Downloader] - Downloading data container: /currency
[19:46:44] [INFO ] [Async task thread] [Downloader] - Downloading data key: /currency/coins
[19:46:44] [INFO ] [Async task thread] [Downloader] - Downloading data container: /reward_multipliers
[19:46:44] [INFO ] [Async task thread] [Downloader] - Downloading data key: /reward_multipliers/active
[19:46:44] [INFO ] [Async task thread] [Downloader] - Downloading data container: /keyvaluedata
[19:46:44] [INFO ] [Async task thread] [Downloader] - Downloading data key: /keyvaluedata/pairs-2015
[19:46:44] [INFO ] [Async task thread] [Downloader] - Downloading data key: /keyvaluedata/pairs-6002
[19:46:44] [INFO ] [Async task thread] [Downloader] - Downloading data key: /keyvaluedata/pairs-2014
[19:46:44] [INFO ] [Async task thread] [Downloader] - Downloading data key: /keyvaluedata/pairs-2017
[19:46:44] [INFO ] [Async task thread] [Downloader] - Downloading data container: /dragons
[19:46:44] [INFO ] [Async task thread] [Downloader] - Downloading data key: /dragons/dragonlist
[19:46:44] [INFO ] [Async task thread] [Downloader] - Downloading data key: /dragons/dragon-1616297358
[19:46:44] [INFO ] [Async task thread] [Downloader] - Downloading data key: /dragons/dragon-1958351744
[19:46:44] [INFO ] [Async task thread] [Downloader] - Downloading data key: /dragons/dragon-1482643772
[19:46:44] [INFO ] [Async task thread] [Downloader] - Downloading data key: /dragons/dragon-271923081
[19:46:44] [INFO ] [Async task thread] [Downloader] - Downloading data container: /quests
[19:46:44] [INFO ] [Async task thread] [Downloader] - Downloading data key: /quests/quest-2881
[19:46:44] [INFO ] [Async task thread] [Downloader] - Downloading data key: /quests/quest-999
[19:46:44] [INFO ] [Async task thread] [Downloader] - Downloading data key: /quests/quest-2880
[19:46:44] [INFO ] [Async task thread] [Downloader] - Downloading data key: /quests/quest-2882
[19:46:44] [INFO ] [Async task thread] [Downloader] - Downloading data key: /quests/quest-2883
[19:46:44] [INFO ] [Async task thread] [Downloader] - Downloading data key: /quests/completedquests
[19:46:44] [INFO ] [Async task thread] [Downloader] - Downloading data key: /quests/quest-1014
[19:46:44] [INFO ] [Async task thread] [Downloader] - Downloading data key: /quests/quest-2884
[19:46:44] [INFO ] [Async task thread] [Downloader] - Downloading data key: /quests/quest-3044
[19:46:44] [INFO ] [Async task thread] [Downloader] - Downloading data key: /quests/quest-3045
[19:46:44] [INFO ] [Async task thread] [Downloader] - Downloading data key: /quests/quest-3047
[19:46:44] [INFO ] [Async task thread] [Downloader] - Downloading data key: /quests/quest-3048
[19:46:44] [INFO ] [Async task thread] [Downloader] - Downloading data key: /quests/quest-3050
[19:46:44] [INFO ] [Async task thread] [Downloader] - Downloading data key: /quests/quest-3051
[19:46:44] [INFO ] [Async task thread] [Downloader] - Downloading data key: /quests/quest-2885
[19:46:44] [INFO ] [Async task thread] [Downloader] - Downloading data key: /quests/quest-1605
[19:46:44] [INFO ] [Async task thread] [Downloader] - Downloading data key: /quests/quest-3175
[19:46:44] [INFO ] [Async task thread] [Downloader] - Downloading data key: /quests/quest-1769
[19:46:44] [INFO ] [Async task thread] [Downloader] - Downloading data key: /quests/quest-2886
[19:46:44] [INFO ] [Async task thread] [Downloader] - Downloading data key: /quests/quest-3066
[19:46:44] [INFO ] [Async task thread] [Downloader] - Downloading data key: /quests/upcomingquests
[19:46:44] [INFO ] [Async task thread] [Downloader] - Downloading data key: /quests/quest-1771
[19:46:44] [INFO ] [Async task thread] [Downloader] - Downloading data key: /quests/quest-1779
[19:46:44] [INFO ] [Async task thread] [Downloader] - Downloading data key: /quests/quest-1780
[19:46:44] [INFO ] [Async task thread] [Downloader] - Downloading data key: /quests/quest-1781
[19:46:44] [INFO ] [Async task thread] [Downloader] - Downloading data key: /quests/quest-1783
[19:46:44] [INFO ] [Async task thread] [Downloader] - Downloading data key: /quests/quest-1777
[19:46:44] [INFO ] [Async task thread] [Downloader] - Downloading data key: /quests/quest-1778
[19:46:44] [INFO ] [Async task thread] [Downloader] - Downloading data key: /quests/quest-1784
[19:46:44] [INFO ] [Async task thread] [Downloader] - Downloading data key: /quests/quest-1782
[19:46:44] [INFO ] [Async task thread] [Downloader] - Downloading data key: /quests/quest-1786
[19:46:45] [INFO ] [Async task thread] [Downloader] - Downloading data key: /quests/quest-1787
[19:46:45] [INFO ] [Async task thread] [Downloader] - Downloading data key: /quests/quest-1788
[19:46:45] [INFO ] [Async task thread] [Downloader] - Downloading data key: /quests/quest-1789
[19:46:45] [INFO ] [Async task thread] [Downloader] - Downloading data key: /quests/quest-1790
[19:46:45] [INFO ] [Async task thread] [Downloader] - Downloading data key: /quests/quest-1979
[19:46:45] [INFO ] [Async task thread] [Downloader] - Downloading data key: /quests/quest-1813
[19:46:45] [INFO ] [Async task thread] [Downloader] - Downloading data key: /quests/quest-1976
[19:46:45] [INFO ] [Async task thread] [Downloader] - Downloading data key: /quests/quest-1977
[19:46:45] [INFO ] [Async task thread] [Downloader] - Downloading data key: /quests/quest-1972
[19:46:45] [INFO ] [Async task thread] [Downloader] - Downloading data key: /quests/quest-2671
[19:46:45] [INFO ] [Async task thread] [Downloader] - Downloading data key: /quests/quest-2672
[19:46:45] [INFO ] [Async task thread] [Downloader] - Downloading data key: /quests/quest-2776
[19:46:45] [INFO ] [Async task thread] [Downloader] - Downloading data key: /quests/lastupdate_serverdata
[19:46:45] [INFO ] [Async task thread] [Downloader] - Downloading data key: /quests/lastupdate_serverver
[19:46:47] [INFO ] [Async task thread] [Downloader] - Downloading data key: /quests/quest-2689
[19:46:47] [INFO ] [Async task thread] [Downloader] - Downloading data key: /quests/quest-2690
[19:46:47] [INFO ] [Async task thread] [Downloader] - Downloading data key: /quests/quest-2526
[19:46:47] [INFO ] [Async task thread] [Downloader] - Downloading data key: /quests/quest-2527
[19:46:47] [INFO ] [Async task thread] [Downloader] - Downloading data key: /quests/quest-2528
[19:46:47] [INFO ] [Async task thread] [Downloader] - Downloading data key: /quests/quest-2560
[19:46:47] [INFO ] [Async task thread] [Downloader] - Downloading data key: /quests/quest-2561
[19:46:47] [INFO ] [Async task thread] [Downloader] - Downloading data key: /quests/quest-2986
[19:46:47] [INFO ] [Async task thread] [Downloader] - Downloading data key: /quests/quest-3171
[19:46:47] [INFO ] [Async task thread] [Downloader] - Downloading data key: /quests/quest-3172
[19:46:47] [INFO ] [Async task thread] [Downloader] - Downloading data key: /quests/lastupdate
[19:46:47] [INFO ] [Async task thread] [Downloader] - Downloading data key: /quests/quest-1973
[19:46:47] [INFO ] [Async task thread] [Downloader] - Downloading data key: /quests/activequests
[19:46:47] [INFO ] [Async task thread] [Downloader] - Downloading data key: /quests/quest-1815
[19:46:47] [INFO ] [Async task thread] [Downloader] - Downloading data key: /quests/quest-2691
[19:46:47] [INFO ] [Async task thread] [Downloader] - Downloading data container: /images
[19:46:47] [INFO ] [Async task thread] [Downloader] - Downloading data key: /images/imageslotinfo-2-EggColor
[19:46:47] [INFO ] [Async task thread] [Downloader] - Downloading data key: /images/imagefile-2-EggColor
[19:46:47] [INFO ] [Async task thread] [Downloader] - Downloading data key: /images/imageslotinfo-3-EggColor
[19:46:47] [INFO ] [Async task thread] [Downloader] - Downloading data key: /images/imagefile-3-EggColor
[19:46:47] [INFO ] [Async task thread] [Downloader] - Downloading data key: /images/imageslotinfo-0-EggColor
[19:46:47] [INFO ] [Async task thread] [Downloader] - Downloading data key: /images/imagefile-0-EggColor
[19:46:47] [INFO ] [Async task thread] [Downloader] - Downloading data key: /images/imageslotinfo-1-EggColor
[19:46:47] [INFO ] [Async task thread] [Downloader] - Downloading data key: /images/imagefile-1-EggColor
[19:46:47] [INFO ] [Async task thread] [Downloader] - Downloading data container: /commoninventories
[19:46:47] [INFO ] [Async task thread] [Downloader] - Downloading data container: /commoninventories/c-1
[19:46:47] [INFO ] [Async task thread] [Downloader] - Downloading data key: /commoninventories/c-1/u-519995945
[19:46:47] [INFO ] [Async task thread] [Downloader] - Downloading data key: /commoninventories/c-1/u-249560639
[19:46:47] [INFO ] [Async task thread] [Downloader] - Downloading data key: /commoninventories/c-1/u-529406748
[19:46:47] [INFO ] [Async task thread] [Downloader] - Downloading data key: /commoninventories/c-1/u-938604391
[19:46:47] [INFO ] [Async task thread] [Downloader] - Downloading data key: /commoninventories/c-1/u-848054504
[19:46:47] [INFO ] [Async task thread] [Downloader] - Downloading data key: /commoninventories/c-1/u-334866380
[19:46:47] [INFO ] [Async task thread] [Downloader] - Downloading data key: /commoninventories/c-1/u-957198859
[19:46:47] [INFO ] [Async task thread] [Downloader] - Downloading data key: /commoninventories/c-1/u-34853072
[19:46:47] [INFO ] [Async task thread] [Downloader] - Downloading data key: /commoninventories/c-1/u-846035086
[19:46:47] [INFO ] [Async task thread] [Downloader] - Downloading data key: /commoninventories/c-1/u-136743591
[19:46:47] [INFO ] [Async task thread] [Downloader] - Downloading data key: /commoninventories/c-1/u-491436163
[19:46:47] [INFO ] [Async task thread] [Downloader] - Downloading data key: /commoninventories/c-1/u-840362481
[19:46:47] [INFO ] [Async task thread] [Downloader] - Downloading data key: /commoninventories/c-1/u-517753889
[19:46:47] [INFO ] [Async task thread] [Downloader] - Downloading data key: /commoninventories/c-1/u-168913030
[19:46:47] [INFO ] [Async task thread] [Downloader] - Downloading data key: /commoninventories/c-1/u-656459029
[19:46:47] [INFO ] [Async task thread] [Downloader] - Downloading data key: /commoninventories/c-1/u-657235732
[19:46:47] [INFO ] [Async task thread] [Downloader] - Downloading data key: /commoninventories/c-1/u-664840982
[19:46:47] [INFO ] [Async task thread] [Downloader] - Downloading data container: /commoninventories/c-1/d-10995
[19:46:47] [INFO ] [Async task thread] [Downloader] - Downloading data key: /commoninventories/c-1/d-10995/u-519995945
[19:46:47] [INFO ] [Async task thread] [Downloader] - Downloading data container: /commoninventories/c-1/d-11862
[19:46:47] [INFO ] [Async task thread] [Downloader] - Downloading data key: /commoninventories/c-1/d-11862/u-249560639
[19:46:47] [INFO ] [Async task thread] [Downloader] - Downloading data container: /commoninventories/c-1/d-12437
[19:46:47] [INFO ] [Async task thread] [Downloader] - Downloading data key: /commoninventories/c-1/d-12437/u-529406748
[19:46:47] [INFO ] [Async task thread] [Downloader] - Downloading data container: /commoninventories/c-1/d-13026
[19:46:47] [INFO ] [Async task thread] [Downloader] - Downloading data key: /commoninventories/c-1/d-13026/u-938604391
[19:46:47] [INFO ] [Async task thread] [Downloader] - Downloading data container: /commoninventories/c-1/d-13205
[19:46:47] [INFO ] [Async task thread] [Downloader] - Downloading data key: /commoninventories/c-1/d-13205/u-848054504
[19:46:47] [INFO ] [Async task thread] [Downloader] - Downloading data container: /commoninventories/c-1/d-13403
[19:46:47] [INFO ] [Async task thread] [Downloader] - Downloading data key: /commoninventories/c-1/d-13403/u-334866380
[19:46:47] [INFO ] [Async task thread] [Downloader] - Downloading data container: /commoninventories/c-1/d-13625
[19:46:47] [INFO ] [Async task thread] [Downloader] - Downloading data key: /commoninventories/c-1/d-13625/u-957198859
[19:46:47] [INFO ] [Async task thread] [Downloader] - Downloading data container: /commoninventories/c-1/d-15871
[19:46:47] [INFO ] [Async task thread] [Downloader] - Downloading data key: /commoninventories/c-1/d-15871/u-34853072
[19:46:47] [INFO ] [Async task thread] [Downloader] - Downloading data container: /commoninventories/c-1/d-16623
[19:46:47] [INFO ] [Async task thread] [Downloader] - Downloading data key: /commoninventories/c-1/d-16623/u-846035086
[19:46:47] [INFO ] [Async task thread] [Downloader] - Downloading data container: /commoninventories/c-1/d-19119
[19:46:47] [INFO ] [Async task thread] [Downloader] - Downloading data key: /commoninventories/c-1/d-19119/u-136743591
[19:46:47] [INFO ] [Async task thread] [Downloader] - Downloading data container: /commoninventories/c-1/d-10996
[19:46:49] [INFO ] [Async task thread] [Downloader] - Downloading data key: /commoninventories/c-1/d-10996/u-491436163
[19:46:49] [INFO ] [Async task thread] [Downloader] - Downloading data container: /commoninventories/c-1/d-8978
[19:46:49] [INFO ] [Async task thread] [Downloader] - Downloading data key: /commoninventories/c-1/d-8978/u-840362481
